age,XOM-GOM-31_CDF,XOM-GOM-40_CDF,XOM-GOM-43_CDF,XOM-GOM-44_CDF,XOM-GOM-31_KDE,XOM-GOM-40_KDE,XOM-GOM-43_KDE,XOM-GOM-44_KDE
25.0,0.0,0.0,0.0,0.0,0.000156679548047,1.54894632107e-29,0.000208656366003,9.44090711592e-05
26.0,0.0,0.0,0.0,0.0,0.000166079642992,2.37821332464e-29,0.000223080517979,0.000101107381106
27.0,0.0,0.0,0.0,0.0,0.000175774816111,3.64561143185e-29,0.000238155442634,0.00010812213902
28.0,0.0,0.0,0.0,0.0,0.0001857521059,5.57949734994e-29,0.000253880588845,0.000115454707229
29.0,0.0,0.0,0.0,0.0,0.000195996538864,8.52559901682e-29,0.000270252613594,0.000123105266714
30.0,0.0,0.0,0.0,0.0,0.000206491116201,1.30064824285e-28,0.000287265237365,0.000131072756757
31.0,0.0,0.0,0.0,0.0,0.000217216815962,1.98107055604e-28,0.00030490911294,0.000139354820907
32.0,0.0,0.0,0.0,0.0,0.00022815261152,3.0126255623e-28,0.000323171709521,0.000147947760036
33.0,0.0,0.0,0.0,0.0,0.000239275507021,4.57399303702e-28,0.000342037214047,0.000156846493248
34.0,0.0,0.0,0.0,0.0,0.00025056059038,6.93347526143e-28,0.00036148645151,0.000166044527284
35.0,0.0,0.0,0.0,0.0,0.000261981104167,1.04932874594e-27,0.000381496825934,0.000175533935047
36.0,0.0,0.0,0.0,0.0,0.000273508534598,1.58554035162e-27,0.00040204228359,0.000185305343742
37.0,0.0,0.0,0.0,0.0,0.000285112718626,2.39192829828e-27,0.000423093299802,0.000195347933075
38.0,0.0,0.0,0.0,0.0,0.00029676196894,3.60266718163e-27,0.000444616890566,0.000205649443808
39.0,0.0,0.0,0.0,0.0,0.000308423216474,5.41757907128e-27,0.000466576649958,0.00021619619687
40.0,0.0,0.0,0.0,0.0,0.000320062169812,8.13376279398e-27,0.000488932814097,0.000226973123129
41.0,0.0,0.0,0.0,0.0,0.00033164349068,1.21922223933e-26,0.000511642352151,0.000237963803756
42.0,0.0,0.0,0.0,0.0,0.000343130984489,1.82464918586e-26,0.000534659084655,0.000249150521022
43.0,0.0,0.0,0.0,0.0,0.000354487804702,2.72634623292e-26,0.000557933829071,0.000260514319231
44.0,0.0,0.0,0.0,0.0,0.000365676669592,4.0671273176e-26,0.000581414572277,0.000272035075353
45.0,0.0,0.0,0.0,0.0,0.000376660089775,6.05758694205e-26,0.000605046669346,0.000283691578809
46.0,0.0,0.0,0.0,0.0,0.000387400604743,9.00775723701e-26,0.000628773067694,0.000295461619742
47.0,0.0,0.0,0.0,0.0,0.000397861026421,1.3373307146e-25,0.000652534555368,0.000307322084971
48.0,0.0,0.0,0.0,0.0,0.000408004687705,1.98228499695e-25,0.000676270031964,0.000319249060776
49.0,0.0,0.0,0.0,0.0,0.000417795693744,2.93358379286e-25,0.000699916800362,0.000331217941509
50.0,0.0,0.0,0.0,0.0,0.000427199173701,4.33447028579e-25,0.000723410877237,0.000343203543004
51.0,0.0,0.0,0.0,0.0,0.000436181530614,6.39408921169e-25,0.000746687320016,0.00035518021967
52.0,0.0,0.0,0.0,0.0,0.000444710686968,9.41730164399e-25,0.000769680567755,0.000367121984114
53.0,0.0,0.0,0.0,0.0,0.000452756323573,1.38477559301e-24,0.000792324793199,0.000379002628127
54.0,0.0,0.0,0.0,0.0,0.000460290109332,2.03300032544e-24,0.000814554263122,0.000390795843832
55.0,0.0,0.0,0.0,0.0,0.00046728591958,2.97989268954e-24,0.000836303703911,0.00040247534385
56.0,0.0,0.0,0.0,0.0,0.000473720040711,4.3608277252e-24,0.000857508669258,0.000414014979331
57.0,0.0,0.0,0.0,0.0,0.000479571358941,6.37150993206e-24,0.000878105906752,0.000425388854757
58.0,0.0,0.0,0.0,0.0,0.000484821531175,9.29439076289e-24,0.000898033720161,0.000436571438531
59.0,0.0,0.0,0.0,0.0,0.000489455136124,1.3536444888e-23,0.000917232324187,0.000447537668383
60.0,0.0210526315789,0.0,0.0,0.0,0.000493459803999,1.96830973373e-23,0.000935644188545,0.000458263050797
61.0,0.0210526315789,0.0,0.0116279069767,0.0,0.000496826323315,2.85750757098e-23,0.000953214368318,0.000468723753735
62.0,0.0210526315789,0.0,0.0116279069767,0.0,0.000499548723593,4.14177467365e-23,0.000969890817661,0.000478896692064
63.0,0.0210526315789,0.0,0.0116279069767,0.0,0.000501624332965,5.99364029376e-23,0.000985624684122,0.00048875960526
64.0,0.0210526315789,0.0,0.0116279069767,0.0,0.000503053809999,8.65964346122e-23,0.00100037058101,0.00049829112706
65.0,0.0210526315789,0.0,0.0232558139535,0.0,0.000503841149288,1.24914966634e-22,0.00101408683556,0.000507470846926
66.0,0.0210526315789,0.0,0.0232558139535,0.0114942528736,0.000503993660682,1.79901204048e-22,0.00102673571077,0.000516279363288
67.0,0.0210526315789,0.0,0.0232558139535,0.0114942528736,0.000503521922292,2.5867758191e-22,0.00103828359931,0.00052469832872
68.0,0.0210526315789,0.0,0.0232558139535,0.0114942528736,0.000502439707725,3.7135445977e-22,0.00104870118788,0.000532710487307
69.0,0.0210526315789,0.0,0.0232558139535,0.0229885057471,0.000500763888256,5.32259748145e-22,0.0010579635911,0.000540299704615
70.0,0.0210526315789,0.0,0.0232558139535,0.0229885057471,0.000498514310962,7.61664533122e-22,0.00106605045402,0.000547450990788
71.0,0.0210526315789,0.0,0.0348837209302,0.0229885057471,0.000495713654084,1.08820062503e-21,0.00107294602292,0.000554150517401
72.0,0.0210526315789,0.0,0.0348837209302,0.0229885057471,0.000492387261159,1.55224166926e-21,0.00107863918426,0.00056038562879
73.0,0.0315789473684,0.0,0.0348837209302,0.0229885057471,0.000488562955688,2.21062375832e-21,0.00108312347203,0.000566144848655
74.0,0.0315789473684,0.0,0.046511627907,0.0229885057471,0.000484270838314,3.14322490981e-21,0.00108639704416,0.000571417882778
75.0,0.0315789473684,0.0,0.046511627907,0.0229885057471,0.000479543068716,4.46211964178e-21,0.0010884626288,0.000576195618743
76.0,0.0315789473684,0.0,0.046511627907,0.0229885057471,0.000474413634525,6.3242946086e-21,0.00108932744172,0.000580470123531
77.0,0.0315789473684,0.0,0.046511627907,0.0229885057471,0.000468918109766,8.94928015091e-21,0.00108900307627,0.000584234639885
78.0,0.0315789473684,0.0,0.046511627907,0.0229885057471,0.000463093405388,1.26435561978e-20,0.00108750536766,0.00058748358227
79.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000456977514546,1.78342771625e-20,0.00108485423339,0.000590212533229
80.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000450609255313,2.51157938112e-20,0.00108107349209,0.000592418240853
81.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000444028013536,3.53137172349e-20,0.00107619066288,0.000594098617965
82.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000437273488466,4.95729872561e-20,0.00107023674777,0.000595252743561
83.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000430385443803,6.94787304144e-20,0.00106324599942,0.000595880866877
84.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000423403466626,9.72218289038e-20,0.00105525567687,0.000595984414345
85.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000416366736602,1.35825348519e-19,0.00104630579168,0.000595565999561
86.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000409313807683,1.8945365942e-19,0.00103643884696,0.000594629436217
87.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000402282404326,2.63833717889e-19,0.00102569957173,0.000593179753839
88.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000395309234061,3.66828209019e-19,0.0010141346529,0.000591223215974
89.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000388429817986,5.09213937701e-19,0.0010017924671,0.000588767340397
90.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000381678340529,7.05737131373e-19,0.000988722814426,0.000585820920694
91.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000375087519545,9.76541675566e-19,0.000974976655936,0.000582394048534
92.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000368688497532,1.3490987054e-18,0.000960605856739,0.000578498135768
93.0,0.0315789473684,0.0,0.0581395348837,0.0229885057471,0.000362510754466,1.86080899885e-18,0.000945662936097,0.000574145935465
